,Commune,Année,Médiane_couples_mariés,Médiane_celibataire
154,Corsier,2011,189399,43695
155,Corsier,2012,191422,41157
156,Corsier,2013,200308,43416
157,Corsier,2014,202898,44244
158,Corsier,2015,202092,44761
159,Corsier,2016,198510,44130
160,Corsier,2017,198434,46214
161,Corsier,2018,198662,52015
162,Céligny,2010,170131,44059
163,Céligny,2011,169931,39345
164,Céligny,2012,178438,39495
165,Céligny,2013,175226,41049
166,Céligny,2014,169565,44199
167,Céligny,2015,172097,47934
168,Céligny,2016,167426,49892
169,Céligny,2017,172684,44224
170,Céligny,2018,176861,47185
171,Dardagny,2010,146156,49462
172,Dardagny,2011,148552,51240
173,Dardagny,2012,144441,50030
174,Dardagny,2013,146731,48404
175,Dardagny,2014,148347,51764
176,Dardagny,2015,146828,49385
177,Dardagny,2016,147047,56668
178,Dardagny,2017,145245,57221
179,Dardagny,2018,148270,58780
180,Genthod,2010,183503,45268
181,Genthod,2011,182530,42976
182,Genthod,2012,180536,42824
183,Genthod,2013,186318,42236
184,Genthod,2014,190299,49543
185,Genthod,2015,190861,46214
186,Genthod,2016,187677,48429
187,Genthod,2017,189961,49607
188,Genthod,2018,189508,47353
189,Genève,2010,110648,48509
190,Genève,2011,111716,48472
191,Genève,2012,111579,47637
192,Genève,2013,112695,47715
193,Genève,2014,114231,52275
194,Genève,2015,114683,52282
195,Genève,2016,115199,52555
196,Genève,2017,116170,52680
197,Genève,2018,118258,53265
198,Grand-Saconnex,2010,125191,49881
199,Grand-Saconnex,2011,126778,49390
200,Grand-Saconnex,2012,127471,50113
201,Grand-Saconnex,2013,128559,47944
202,Grand-Saconnex,2014,129417,53611
203,Grand-Saconnex,2015,127794,52348
204,Grand-Saconnex,2016,128009,52204
205,Grand-Saconnex,2017,127123,50752
206,Grand-Saconnex,2018,127832,49015
207,Gy,2010,222191,30325
208,Gy,2011,220495,42763
209,Gy,2012,212981,42693
210,Gy,2013,207057,49694
211,Gy,2014,201284,54837
212,Gy,2015,205891,54840
213,Gy,2016,207654,53789
214,Gy,2017,207118,49559
215,Gy,2018,202415,59000
216,Hermance,2010,201843,48475
217,Hermance,2011,190170,49290
218,Hermance,2012,203509,45717
219,Hermance,2013,210791,46757
220,Hermance,2014,199806,54732
221,Hermance,2015,209066,54469
222,Hermance,2016,198331,49837
223,Hermance,2017,202422,54809
224,Hermance,2018,216298,51182
225,Jussy,2010,168274,50419
226,Jussy,2011,174201,53596
227,Jussy,2012,173968,54574
228,Jussy,2013,170015,56946
229,Jussy,2014,177105,57006
230,Jussy,2015,178146,52898
231,Jussy,2016,170676,51746
232,Jussy,2017,181374,52499
233,Jussy,2018,175964,54158
234,Laconnex,2010,171395,57414
235,Laconnex,2011,182112,56344
236,Laconnex,2012,181483,55698
237,Laconnex,2013,186794,56945
238,Laconnex,2014,182675,59417
239,Laconnex,2015,188640,67228
240,Laconnex,2016,179164,60410
241,Laconnex,2017,179760,63182
242,Laconnex,2018,171744,62414
243,Lancy,2010,113855,52740
244,Lancy,2011,115897,52586
245,Lancy,2012,118422,51847
246,Lancy,2013,118404,51229
247,Lancy,2014,119959,54580
248,Lancy,2015,119635,54375
249,Lancy,2016,120568,54910
250,Lancy,2017,121045,54784
251,Lancy,2018,121506,54542
252,Meinier,2010,159842,56768
253,Meinier,2011,153177,53670
254,Meinier,2012,153184,54110
255,Meinier,2013,158328,53573
256,Meinier,2014,159216,55271
257,Meinier,2015,160387,55548
258,Meinier,2016,161707,57020
259,Meinier,2017,158877,57004
260,Meinier,2018,152513,55109
261,Meyrin,2010,109034,48881
262,Meyrin,2011,109586,48668
263,Meyrin,2012,110160,47667
264,Meyrin,2013,109287,47826
265,Meyrin,2014,110527,51039
266,Meyrin,2015,110428,49556
267,Meyrin,2016,111979,49282
268,Meyrin,2017,112427,49089
269,Meyrin,2018,112334,49707
270,Onex,2010,110988,44909
271,Onex,2011,110861,45380
272,Onex,2012,111911,45303
273,Onex,2013,112109,44412
274,Onex,2014,113064,48378
275,Onex,2015,114169,48646
276,Onex,2016,114589,49199
277,Onex,2017,114533,48957
278,Onex,2018,114558,49692
279,Perly-Certoux,2010,133878,64904
280,Perly-Certoux,2011,137559,62713
281,Perly-Certoux,2012,137319,62050
282,Perly-Certoux,2013,135456,61095
283,Perly-Certoux,2014,139874,62911
284,Perly-Certoux,2015,137899,62661
285,Perly-Certoux,2016,140271,60955
286,Perly-Certoux,2017,137759,60881
287,Perly-Certoux,2018,139409,61402
288,Plan-les-Ouates,2010,161330,55130
289,Plan-les-Ouates,2011,162628,55153
290,Plan-les-Ouates,2012,163640,52588
291,Plan-les-Ouates,2013,165205,54813
292,Plan-les-Ouates,2014,164950,57165
293,Plan-les-Ouates,2015,165826,55124
294,Plan-les-Ouates,2016,166471,54768
295,Plan-les-Ouates,2017,168410,55729
296,Plan-les-Ouates,2018,170378,54783
297,Pregny-Chambésy,2010,168387,47424
298,Pregny-Chambésy,2011,172835,42096
299,Pregny-Chambésy,2012,168936,42656
300,Pregny-Chambésy,2013,175705,46208
301,Pregny-Chambésy,2014,174028,52684
302,Pregny-Chambésy,2015,177488,52929
303,Pregny-Chambésy,2016,176059,45155
304,Pregny-Chambésy,2017,177000,47364
305,Pregny-Chambésy,2018,188133,54322
306,Presinge,2010,176300,38643
307,Presinge,2011,182019,38063
308,Presinge,2012,162591,36156
309,Presinge,2013,162954,38603
310,Presinge,2014,163473,62788
311,Presinge,2015,181177,55211
312,Presinge,2016,168137,68047
313,Presinge,2017,164723,63276
314,Presinge,2018,168420,59936
315,Puplinge,2010,164610,55792
316,Puplinge,2011,162643,55442
317,Puplinge,2012,164478,52919
318,Puplinge,2013,167769,55564
319,Puplinge,2014,168392,56248
320,Puplinge,2015,170389,60352
321,Puplinge,2016,164883,59277
322,Puplinge,2017,162985,59897
323,Puplinge,2018,164695,61800
324,Russin,2010,162204,64818
325,Russin,2011,159163,57168
326,Russin,2012,156490,55204
327,Russin,2013,163057,59645
328,Russin,2014,162473,64198
329,Russin,2015,159348,65003
330,Russin,2016,169203,61792
331,Russin,2017,165822,65279
332,Russin,2018,179451,67783
333,Satigny,2010,157521,60246
334,Satigny,2011,158461,59127
335,Satigny,2012,159335,56932
336,Satigny,2013,165687,59844
337,Satigny,2014,165121,62413
338,Satigny,2015,167233,60206
339,Satigny,2016,168209,59810
340,Satigny,2017,168254,58450
341,Satigny,2018,168045,58110
342,Soral,2010,174630,58560
343,Soral,2011,177816,56975
344,Soral,2012,180269,61631
345,Soral,2013,182973,60580
346,Soral,2014,182537,75772
347,Soral,2015,184145,74053
348,Soral,2016,180272,76644
349,Soral,2017,170332,77266
350,Soral,2018,175053,72597
351,Thônex,2010,129283,44531
352,Thônex,2011,130033,43632
353,Thônex,2012,129317,43109
354,Thônex,2013,131989,41843
355,Thônex,2014,133038,46560
356,Thônex,2015,131740,46383
357,Thônex,2016,133497,46862
358,Thônex,2017,135005,47034
359,Thônex,2018,133537,47174
360,Troinex,2010,182691,58806
361,Troinex,2011,191916,55860
362,Troinex,2012,187455,50229
363,Troinex,2013,193885,50425
364,Troinex,2014,193693,54049
365,Troinex,2015,196007,50206
366,Troinex,2016,192454,49940
367,Troinex,2017,195704,50972
368,Troinex,2018,199028,51881
369,Vandoeuvres,2010,256534,37912
370,Vandoeuvres,2011,247179,42376
371,Vandoeuvres,2012,242358,41869
372,Vandoeuvres,2013,246443,43255
373,Vandoeuvres,2014,248508,43656
374,Vandoeuvres,2015,257648,41199
375,Vandoeuvres,2016,274098,42697
376,Vandoeuvres,2017,289341,44179
377,Vandoeuvres,2018,288550,45501
378,Vernier,2010,101326,39483
379,Vernier,2011,102895,39985
380,Vernier,2012,103725,38893
381,Vernier,2013,103446,38612
382,Vernier,2014,104477,44816
383,Vernier,2015,104150,44183
384,Vernier,2016,104685,44133
385,Vernier,2017,105269,44050
386,Vernier,2018,105324,44323
387,Versoix,2010,122792,44702
388,Versoix,2011,122021,43758
389,Versoix,2012,123539,41736
390,Versoix,2013,123021,43200
391,Versoix,2014,123557,48943
392,Versoix,2015,122880,49099
393,Versoix,2016,123513,49840
394,Versoix,2017,123173,50154
395,Versoix,2018,125498,49830
396,Veyrier,2010,202810,43144
397,Veyrier,2011,204923,42820
398,Veyrier,2012,207439,41719
399,Veyrier,2013,207692,42021
400,Veyrier,2014,210336,51213
401,Veyrier,2015,211323,52431
402,Veyrier,2016,213176,53111
403,Veyrier,2017,212835,52600
404,Veyrier,2018,213093,52645
