,Commune,Année,Population_nombre-hbt
284,Chêne-Bougeries,2009,10288.0
285,Chêne-Bougeries,2010,10452.0
286,Chêne-Bougeries,2011,10380.0
287,Chêne-Bougeries,2012,10608.0
288,Chêne-Bougeries,2013,10615.0
289,Chêne-Bougeries,2014,11181.0
290,Chêne-Bougeries,2015,11318.0
291,Chêne-Bougeries,2016,11538.0
292,Chêne-Bougeries,2017,11867.0
293,Chêne-Bougeries,2018,12239.0
294,Chêne-Bougeries,2019,12549.0
295,Chêne-Bougeries,2020,12622.0
296,Chêne-Bougeries,2021,13125.0
297,Chêne-Bougeries,2022,13409.0
298,Chêne-Bougeries,2023,13830.0
299,Chêne-Bougeries,2024,14280.0
300,Chêne-Bourg,2000,7232.0
301,Chêne-Bourg,2001,7486.0
302,Chêne-Bourg,2002,7680.0
303,Chêne-Bourg,2003,7716.0
304,Chêne-Bourg,2004,7696.0
305,Chêne-Bourg,2005,7808.0
306,Chêne-Bourg,2006,7835.0
307,Chêne-Bourg,2007,7886.0
308,Chêne-Bourg,2008,7900.0
309,Chêne-Bourg,2009,7999.0
310,Chêne-Bourg,2010,8100.0
311,Chêne-Bourg,2011,8104.0
312,Chêne-Bourg,2012,8155.0
313,Chêne-Bourg,2013,8136.0
314,Chêne-Bourg,2014,8194.0
315,Chêne-Bourg,2015,8511.0
316,Chêne-Bourg,2016,8581.0
317,Chêne-Bourg,2017,8708.0
318,Chêne-Bourg,2018,8729.0
319,Chêne-Bourg,2019,8703.0
320,Chêne-Bourg,2020,8818.0
321,Chêne-Bourg,2021,8899.0
322,Chêne-Bourg,2022,8924.0
323,Chêne-Bourg,2023,9467.0
324,Chêne-Bourg,2024,9588.0
325,Collex-Bossy,2000,1295.0
326,Collex-Bossy,2001,1324.0
327,Collex-Bossy,2002,1333.0
328,Collex-Bossy,2003,1406.0
329,Collex-Bossy,2004,1477.0
330,Collex-Bossy,2005,1576.0
331,Collex-Bossy,2006,1560.0
332,Collex-Bossy,2007,1583.0
333,Collex-Bossy,2008,1626.0
334,Collex-Bossy,2009,1616.0
335,Collex-Bossy,2010,1676.0
336,Collex-Bossy,2011,1683.0
337,Collex-Bossy,2012,1660.0
338,Collex-Bossy,2013,1667.0
339,Collex-Bossy,2014,1679.0
340,Collex-Bossy,2015,1667.0
341,Collex-Bossy,2016,1670.0
342,Collex-Bossy,2017,1680.0
343,Collex-Bossy,2018,1672.0
344,Collex-Bossy,2019,1652.0
345,Collex-Bossy,2020,1677.0
346,Collex-Bossy,2021,1718.0
347,Collex-Bossy,2022,1748.0
348,Collex-Bossy,2023,1683.0
349,Collex-Bossy,2024,1675.0
350,Collonge-Bellerive,2000,6336.0
351,Collonge-Bellerive,2001,6514.0
352,Collonge-Bellerive,2002,6603.0
353,Collonge-Bellerive,2003,6832.0
354,Collonge-Bellerive,2004,6964.0
355,Collonge-Bellerive,2005,7010.0
356,Collonge-Bellerive,2006,7187.0
357,Collonge-Bellerive,2007,7346.0
358,Collonge-Bellerive,2008,7438.0
359,Collonge-Bellerive,2009,7480.0
360,Collonge-Bellerive,2010,7611.0
361,Collonge-Bellerive,2011,7507.0
362,Collonge-Bellerive,2012,7517.0
363,Collonge-Bellerive,2013,7578.0
364,Collonge-Bellerive,2014,7836.0
365,Collonge-Bellerive,2015,8037.0
366,Collonge-Bellerive,2016,8094.0
367,Collonge-Bellerive,2017,8171.0
368,Collonge-Bellerive,2018,8237.0
369,Collonge-Bellerive,2019,8360.0
370,Collonge-Bellerive,2020,8489.0
371,Collonge-Bellerive,2021,8563.0
372,Collonge-Bellerive,2022,8574.0
373,Collonge-Bellerive,2023,8647.0
374,Collonge-Bellerive,2024,8641.0
375,Cologny,2000,4748.0
376,Cologny,2001,4840.0
377,Cologny,2002,4950.0
378,Cologny,2003,4974.0
379,Cologny,2004,4899.0
380,Cologny,2005,4919.0
381,Cologny,2006,4886.0
382,Cologny,2007,4936.0
383,Cologny,2008,4892.0
384,Cologny,2009,4838.0
385,Cologny,2010,4871.0
386,Cologny,2011,4973.0
387,Cologny,2012,4898.0
388,Cologny,2013,5006.0
389,Cologny,2014,5131.0
390,Cologny,2015,5520.0
391,Cologny,2016,5478.0
392,Cologny,2017,5512.0
393,Cologny,2018,5547.0
394,Cologny,2019,5582.0
395,Cologny,2020,5866.0
396,Cologny,2021,5931.0
397,Cologny,2022,6063.0
398,Cologny,2023,6037.0
399,Cologny,2024,6010.0
400,Confignon,2000,3008.0
401,Confignon,2001,3060.0
402,Confignon,2002,3415.0
403,Confignon,2003,3412.0
404,Confignon,2004,3327.0
405,Confignon,2005,3469.0
406,Confignon,2006,3759.0
407,Confignon,2007,4016.0
408,Confignon,2008,4054.0
409,Confignon,2009,4113.0
410,Confignon,2010,4176.0
411,Confignon,2011,4309.0
412,Confignon,2012,4326.0
413,Confignon,2013,4390.0
414,Confignon,2014,4471.0
415,Confignon,2015,4535.0
416,Confignon,2016,4601.0
417,Confignon,2017,4630.0
418,Confignon,2018,4646.0
419,Confignon,2019,4642.0
420,Confignon,2020,4591.0
421,Confignon,2021,4566.0
422,Confignon,2022,4601.0
423,Confignon,2023,4565.0
424,Confignon,2024,4569.0
425,Corsier,2000,1699.0
426,Corsier,2001,1689.0
427,Corsier,2002,1710.0
428,Corsier,2003,1732.0
429,Corsier,2004,1704.0
430,Corsier,2005,1713.0
431,Corsier,2006,1741.0
432,Corsier,2007,1729.0
433,Corsier,2008,1762.0
434,Corsier,2009,1770.0
435,Corsier,2010,1804.0
436,Corsier,2011,1867.0
437,Corsier,2012,1922.0
438,Corsier,2013,1984.0
439,Corsier,2014,2022.0
440,Corsier,2015,2030.0
441,Corsier,2016,2024.0
442,Corsier,2017,2077.0
443,Corsier,2018,2128.0
