,Commune,Année,Nombre_de_logements
315,Dardagny,2020,31.0
316,Dardagny,2021,31.0
317,Dardagny,2022,31.0
318,Dardagny,2023,31.0
319,Dardagny,2024,31.0
320,Genthod,2009,54.0
321,Genthod,2010,54.0
322,Genthod,2011,54.0
323,Genthod,2012,54.0
324,Genthod,2013,
325,Genthod,2014,
326,Genthod,2015,
327,Genthod,2016,
328,Genthod,2017,
329,Genthod,2018,
330,Genthod,2019,
331,Genthod,2020,
332,Genthod,2021,
333,Genthod,2022,
334,Genthod,2023,
335,Genthod,2024,
336,Genève,2009,6433.0
337,Genève,2010,6908.0
338,Genève,2011,6764.0
339,Genève,2012,6633.0
340,Genève,2013,5922.0
341,Genève,2014,5616.0
342,Genève,2015,5785.0
343,Genève,2016,5610.0
344,Genève,2017,5704.0
345,Genève,2018,5634.0
346,Genève,2019,5853.0
347,Genève,2020,5849.0
348,Genève,2021,6252.0
349,Genève,2022,6305.0
350,Genève,2023,6535.0
351,Genève,2024,6859.0
352,Grand-Saconnex,2009,778.0
353,Grand-Saconnex,2010,672.0
354,Grand-Saconnex,2011,823.0
355,Grand-Saconnex,2012,823.0
356,Grand-Saconnex,2013,829.0
357,Grand-Saconnex,2014,830.0
358,Grand-Saconnex,2015,805.0
359,Grand-Saconnex,2016,806.0
360,Grand-Saconnex,2017,644.0
361,Grand-Saconnex,2018,686.0
362,Grand-Saconnex,2019,686.0
363,Grand-Saconnex,2020,686.0
364,Grand-Saconnex,2021,632.0
365,Grand-Saconnex,2022,632.0
366,Grand-Saconnex,2023,632.0
367,Grand-Saconnex,2024,632.0
368,Gy,2009,
369,Gy,2010,
370,Gy,2011,
371,Gy,2012,
372,Gy,2013,
373,Gy,2014,
374,Gy,2015,
375,Gy,2016,
376,Gy,2017,
377,Gy,2018,
378,Gy,2019,
379,Gy,2020,
380,Gy,2021,
381,Gy,2022,
382,Gy,2023,
383,Gy,2024,
384,Hermance,2009,4.0
385,Hermance,2010,4.0
386,Hermance,2011,4.0
387,Hermance,2012,4.0
388,Hermance,2013,
389,Hermance,2014,
390,Hermance,2015,
391,Hermance,2016,
392,Hermance,2017,
393,Hermance,2018,
394,Hermance,2019,
395,Hermance,2020,
396,Hermance,2021,
397,Hermance,2022,
398,Hermance,2023,
399,Hermance,2024,
400,Jussy,2009,14.0
401,Jussy,2010,14.0
402,Jussy,2011,14.0
403,Jussy,2012,14.0
404,Jussy,2013,14.0
405,Jussy,2014,
406,Jussy,2015,
407,Jussy,2016,
408,Jussy,2017,
409,Jussy,2018,
410,Jussy,2019,
411,Jussy,2020,
412,Jussy,2021,
413,Jussy,2022,
414,Jussy,2023,
415,Jussy,2024,
416,Laconnex,2009,
417,Laconnex,2010,
418,Laconnex,2011,
419,Laconnex,2012,
420,Laconnex,2013,
421,Laconnex,2014,
422,Laconnex,2015,
423,Laconnex,2016,
424,Laconnex,2017,
425,Laconnex,2018,
426,Laconnex,2019,
427,Laconnex,2020,
428,Laconnex,2021,
429,Laconnex,2022,
430,Laconnex,2023,
431,Laconnex,2024,
432,Lancy,2009,1508.0
433,Lancy,2010,1528.0
434,Lancy,2011,1445.0
435,Lancy,2012,1502.0
436,Lancy,2013,1651.0
437,Lancy,2014,1839.0
438,Lancy,2015,1687.0
439,Lancy,2016,1512.0
440,Lancy,2017,1635.0
441,Lancy,2018,1615.0
442,Lancy,2019,1661.0
443,Lancy,2020,2001.0
444,Lancy,2021,2169.0
445,Lancy,2022,2294.0
446,Lancy,2023,2484.0
447,Lancy,2024,2484.0
448,Meinier,2009,24.0
449,Meinier,2010,24.0
450,Meinier,2011,24.0
451,Meinier,2012,62.0
452,Meinier,2013,44.0
453,Meinier,2014,44.0
454,Meinier,2015,44.0
455,Meinier,2016,44.0
456,Meinier,2017,44.0
457,Meinier,2018,38.0
458,Meinier,2019,38.0
459,Meinier,2020,38.0
460,Meinier,2021,38.0
461,Meinier,2022,38.0
462,Meinier,2023,38.0
463,Meinier,2024,38.0
464,Meyrin,2009,494.0
465,Meyrin,2010,470.0
466,Meyrin,2011,470.0
467,Meyrin,2012,448.0
468,Meyrin,2013,448.0
469,Meyrin,2014,420.0
470,Meyrin,2015,507.0
471,Meyrin,2016,614.0
472,Meyrin,2017,767.0
473,Meyrin,2018,1100.0
474,Meyrin,2019,1212.0
475,Meyrin,2020,1333.0
476,Meyrin,2021,1411.0
477,Meyrin,2022,1379.0
478,Meyrin,2023,1399.0
479,Meyrin,2024,1400.0
720,Moyenne,2009,546.8611111111111
721,Moyenne,2010,539.3055555555555
722,Moyenne,2011,519.7027027027027
723,Moyenne,2012,515.6756756756756
724,Moyenne,2013,558.2121212121212
725,Moyenne,2014,618.5333333333333
726,Moyenne,2015,660.0714285714286
727,Moyenne,2016,584.0645161290323
728,Moyenne,2017,566.28125
729,Moyenne,2018,581.65625
730,Moyenne,2019,592.125
731,Moyenne,2020,614.15625
732,Moyenne,2021,658.40625
733,Moyenne,2022,660.40625
734,Moyenne,2023,704.8387096774194
735,Moyenne,2024,737.6
480,Onex,2009,1161.0
481,Onex,2010,1061.0
482,Onex,2011,982.0
483,Onex,2012,894.0
484,Onex,2013,979.0
485,Onex,2014,987.0
486,Onex,2015,953.0
487,Onex,2016,954.0
488,Onex,2017,954.0
489,Onex,2018,954.0
490,Onex,2019,929.0
491,Onex,2020,940.0
492,Onex,2021,948.0
493,Onex,2022,948.0
494,Onex,2023,1016.0
495,Onex,2024,969.0
496,Perly-Certoux,2009,105.0
497,Perly-Certoux,2010,73.0
498,Perly-Certoux,2011,73.0
499,Perly-Certoux,2012,73.0
500,Perly-Certoux,2013,62.0
501,Perly-Certoux,2014,62.0
502,Perly-Certoux,2015,62.0
503,Perly-Certoux,2016,62.0
504,Perly-Certoux,2017,85.0
505,Perly-Certoux,2018,85.0
506,Perly-Certoux,2019,85.0
507,Perly-Certoux,2020,102.0
508,Perly-Certoux,2021,102.0
509,Perly-Certoux,2022,102.0
510,Perly-Certoux,2023,102.0
511,Perly-Certoux,2024,118.0
512,Plan-les-Ouates,2009,571.0
513,Plan-les-Ouates,2010,432.0
514,Plan-les-Ouates,2011,473.0
515,Plan-les-Ouates,2012,488.0
516,Plan-les-Ouates,2013,620.0
517,Plan-les-Ouates,2014,619.0
518,Plan-les-Ouates,2015,620.0
519,Plan-les-Ouates,2016,517.0
520,Plan-les-Ouates,2017,517.0
521,Plan-les-Ouates,2018,517.0
522,Plan-les-Ouates,2019,517.0
523,Plan-les-Ouates,2020,732.0
524,Plan-les-Ouates,2021,689.0
525,Plan-les-Ouates,2022,691.0
526,Plan-les-Ouates,2023,655.0
527,Plan-les-Ouates,2024,590.0
528,Pregny-Chambésy,2009,23.0
529,Pregny-Chambésy,2010,23.0
530,Pregny-Chambésy,2011,23.0
531,Pregny-Chambésy,2012,23.0
532,Pregny-Chambésy,2013,12.0
533,Pregny-Chambésy,2014,
534,Pregny-Chambésy,2015,
535,Pregny-Chambésy,2016,
536,Pregny-Chambésy,2017,
537,Pregny-Chambésy,2018,
538,Pregny-Chambésy,2019,
539,Pregny-Chambésy,2020,
540,Pregny-Chambésy,2021,
541,Pregny-Chambésy,2022,
542,Pregny-Chambésy,2023,
543,Pregny-Chambésy,2024,
544,Presinge,2009,18.0
545,Presinge,2010,18.0
546,Presinge,2011,18.0
