,Commune,Année,Médiane_couples_mariés,Médiane_celibataire
117,Collex-Bossy,2010,179832.0,48560.0
118,Collex-Bossy,2011,179924.0,49800.0
119,Collex-Bossy,2012,185983.0,42661.0
120,Collex-Bossy,2013,181879.0,51295.0
121,Collex-Bossy,2014,180507.0,56891.0
122,Collex-Bossy,2015,180968.0,59800.0
123,Collex-Bossy,2016,185041.0,60233.0
124,Collex-Bossy,2017,184096.0,59375.0
125,Collex-Bossy,2018,189717.0,56667.0
126,Collonge-Bellerive,2010,200746.0,47456.0
127,Collonge-Bellerive,2011,200779.0,46884.0
128,Collonge-Bellerive,2012,197355.0,44079.0
129,Collonge-Bellerive,2013,206573.0,43736.0
130,Collonge-Bellerive,2014,203507.0,46991.0
131,Collonge-Bellerive,2015,205708.0,48059.0
132,Collonge-Bellerive,2016,208446.0,48187.0
133,Collonge-Bellerive,2017,214146.0,50152.0
134,Collonge-Bellerive,2018,225283.0,51241.0
135,Cologny,2010,204172.0,49956.0
136,Cologny,2011,201866.0,49199.0
137,Cologny,2012,200093.0,47603.0
138,Cologny,2013,201494.0,47797.0
139,Cologny,2014,196426.0,59862.0
140,Cologny,2015,200131.0,59918.0
141,Cologny,2016,198972.0,62066.0
142,Cologny,2017,203566.0,60297.0
143,Cologny,2018,204900.0,63910.0
144,Confignon,2010,163576.0,52453.0
145,Confignon,2011,162678.0,53181.0
146,Confignon,2012,164474.0,50739.0
147,Confignon,2013,164214.0,48295.0
148,Confignon,2014,165519.0,51783.0
149,Confignon,2015,164997.0,53479.0
150,Confignon,2016,163826.0,54767.0
151,Confignon,2017,166537.0,53647.0
152,Confignon,2018,172304.0,54563.0
153,Corsier,2010,193607.0,51483.0
154,Corsier,2011,189399.0,43695.0
155,Corsier,2012,191422.0,41157.0
156,Corsier,2013,200308.0,43416.0
157,Corsier,2014,202898.0,44244.0
158,Corsier,2015,202092.0,44761.0
159,Corsier,2016,198510.0,44130.0
160,Corsier,2017,198434.0,46214.0
161,Corsier,2018,198662.0,52015.0
162,Céligny,2010,170131.0,44059.0
163,Céligny,2011,169931.0,39345.0
164,Céligny,2012,178438.0,39495.0
165,Céligny,2013,175226.0,41049.0
166,Céligny,2014,169565.0,44199.0
167,Céligny,2015,172097.0,47934.0
168,Céligny,2016,167426.0,49892.0
169,Céligny,2017,172684.0,44224.0
170,Céligny,2018,176861.0,47185.0
171,Dardagny,2010,146156.0,49462.0
172,Dardagny,2011,148552.0,51240.0
173,Dardagny,2012,144441.0,50030.0
174,Dardagny,2013,146731.0,48404.0
175,Dardagny,2014,148347.0,51764.0
176,Dardagny,2015,146828.0,49385.0
177,Dardagny,2016,147047.0,56668.0
178,Dardagny,2017,145245.0,57221.0
179,Dardagny,2018,148270.0,58780.0
180,Genthod,2010,183503.0,45268.0
181,Genthod,2011,182530.0,42976.0
182,Genthod,2012,180536.0,42824.0
183,Genthod,2013,186318.0,42236.0
184,Genthod,2014,190299.0,49543.0
185,Genthod,2015,190861.0,46214.0
186,Genthod,2016,187677.0,48429.0
187,Genthod,2017,189961.0,49607.0
188,Genthod,2018,189508.0,47353.0
189,Genève,2010,110648.0,48509.0
190,Genève,2011,111716.0,48472.0
191,Genève,2012,111579.0,47637.0
192,Genève,2013,112695.0,47715.0
193,Genève,2014,114231.0,52275.0
194,Genève,2015,114683.0,52282.0
195,Genève,2016,115199.0,52555.0
196,Genève,2017,116170.0,52680.0
197,Genève,2018,118258.0,53265.0
198,Grand-Saconnex,2010,125191.0,49881.0
199,Grand-Saconnex,2011,126778.0,49390.0
200,Grand-Saconnex,2012,127471.0,50113.0
201,Grand-Saconnex,2013,128559.0,47944.0
202,Grand-Saconnex,2014,129417.0,53611.0
203,Grand-Saconnex,2015,127794.0,52348.0
204,Grand-Saconnex,2016,128009.0,52204.0
205,Grand-Saconnex,2017,127123.0,50752.0
206,Grand-Saconnex,2018,127832.0,49015.0
207,Gy,2010,222191.0,30325.0
208,Gy,2011,220495.0,42763.0
209,Gy,2012,212981.0,42693.0
210,Gy,2013,207057.0,49694.0
211,Gy,2014,201284.0,54837.0
212,Gy,2015,205891.0,54840.0
213,Gy,2016,207654.0,53789.0
214,Gy,2017,207118.0,49559.0
215,Gy,2018,202415.0,59000.0
216,Hermance,2010,201843.0,48475.0
217,Hermance,2011,190170.0,49290.0
218,Hermance,2012,203509.0,45717.0
219,Hermance,2013,210791.0,46757.0
220,Hermance,2014,199806.0,54732.0
221,Hermance,2015,209066.0,54469.0
222,Hermance,2016,198331.0,49837.0
223,Hermance,2017,202422.0,54809.0
224,Hermance,2018,216298.0,51182.0
225,Jussy,2010,168274.0,50419.0
226,Jussy,2011,174201.0,53596.0
227,Jussy,2012,173968.0,54574.0
228,Jussy,2013,170015.0,56946.0
229,Jussy,2014,177105.0,57006.0
230,Jussy,2015,178146.0,52898.0
231,Jussy,2016,170676.0,51746.0
232,Jussy,2017,181374.0,52499.0
233,Jussy,2018,175964.0,54158.0
234,Laconnex,2010,171395.0,57414.0
235,Laconnex,2011,182112.0,56344.0
236,Laconnex,2012,181483.0,55698.0
237,Laconnex,2013,186794.0,56945.0
238,Laconnex,2014,182675.0,59417.0
239,Laconnex,2015,188640.0,67228.0
240,Laconnex,2016,179164.0,60410.0
241,Laconnex,2017,179760.0,63182.0
242,Laconnex,2018,171744.0,62414.0
243,Lancy,2010,113855.0,52740.0
244,Lancy,2011,115897.0,52586.0
245,Lancy,2012,118422.0,51847.0
246,Lancy,2013,118404.0,51229.0
247,Lancy,2014,119959.0,54580.0
248,Lancy,2015,119635.0,54375.0
249,Lancy,2016,120568.0,54910.0
250,Lancy,2017,121045.0,54784.0
251,Lancy,2018,121506.0,54542.0
